Code	Iso	Species	Period	Phos	Volu	Site	Dilu	Cove	Trial	Day	IXM
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	3.2	20	9	1	3.02	3	5	35
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	0.05	20	9	1	3.02	1	0	17
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	0.05	20	9	1	3.02	2	0	17
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	0.05	20	9	1	3.02	3	0	17
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	0.1	20	9	1	3.02	1	0	17
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	0.1	20	9	1	3.02	2	0	17
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	0.1	20	9	1	3.02	3	0	17
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	0.2	20	9	1	3.02	1	0	17
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	0.2	20	9	1	3.02	2	0	17
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	0.2	20	9	1	3.02	3	0	17
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	0.4	20	9	1	3.02	1	0	17
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	0.4	20	9	1	3.02	2	0	17
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	0.4	20	9	1	3.02	3	0	17
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	0.8	20	9	1	3.02	1	0	17
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	0.8	20	9	1	3.02	2	0	17
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	0.8	20	9	1	3.02	3	0	17
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	1.6	20	9	1	3.02	1	0	17
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	1.6	20	9	1	3.02	2	0	17
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	1.6	20	9	1	3.02	3	0	17
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	3.2	20	9	1	3.02	1	0	17
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	3.2	20	9	1	3.02	2	0	17
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	3.2	20	9	1	3.02	3	0	17
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	0.05	20	9	1	3.02	1	1	12
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	0.05	20	9	1	3.02	2	1	22
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	0.05	20	9	1	3.02	3	1	7
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	0.1	20	9	1	3.02	1	1	9
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	0.1	20	9	1	3.02	2	1	6
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	0.1	20	9	1	3.02	3	1	6
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	0.2	20	9	1	3.02	1	1	6
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	0.2	20	9	1	3.02	2	1	7
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	0.2	20	9	1	3.02	3	1	11
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	0.4	20	9	1	3.02	1	1	9
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	0.4	20	9	1	3.02	2	1	6
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	0.4	20	9	1	3.02	3	1	6
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	0.8	20	9	1	3.02	1	1	6
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	0.8	20	9	1	3.02	2	1	9
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	0.8	20	9	1	3.02	3	1	9
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	1.6	20	9	1	3.02	1	1	9
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	1.6	20	9	1	3.02	2	1	12
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	1.6	20	9	1	3.02	3	1	8
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	3.2	20	9	1	3.02	1	1	9
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	3.2	20	9	1	3.02	2	1	8
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	3.2	20	9	1	3.02	3	1	12
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	0.05	20	9	1	3.02	1	2	11
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	0.05	20	9	1	3.02	2	2	10
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	0.05	20	9	1	3.02	3	2	11
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	0.1	20	9	1	3.02	1	2	11
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	0.1	20	9	1	3.02	2	2	10
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	0.1	20	9	1	3.02	3	2	10
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	0.2	20	9	1	3.02	1	2	11
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	0.2	20	9	1	3.02	2	2	9
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	0.2	20	9	1	3.02	3	2	21
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	0.4	20	9	1	3.02	1	2	15
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	0.4	20	9	1	3.02	2	2	10
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	0.4	20	9	1	3.02	3	2	9
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	0.8	20	9	1	3.02	1	2	10
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	0.8	20	9	1	3.02	2	2	11
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	0.8	20	9	1	3.02	3	2	12
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	1.6	20	9	1	3.02	1	2	10
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	1.6	20	9	1	3.02	2	2	12
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	1.6	20	9	1	3.02	3	2	15
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	3.2	20	9	1	3.02	1	2	11
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	3.2	20	9	1	3.02	2	2	12
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	3.2	20	9	1	3.02	3	2	10
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	0.05	20	9	1	3.02	1	3	15
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	0.05	20	9	1	3.02	2	3	13
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	0.05	20	9	1	3.02	3	3	12
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	0.1	20	9	1	3.02	1	3	13
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	0.1	20	9	1	3.02	2	3	15
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	0.1	20	9	1	3.02	3	3	17
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	0.2	20	9	1	3.02	1	3	14
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	0.2	20	9	1	3.02	2	3	14
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	0.2	20	9	1	3.02	3	3	23
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	0.4	20	9	1	3.02	1	3	16
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	0.4	20	9	1	3.02	2	3	11
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	0.4	20	9	1	3.02	3	3	14
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	0.8	20	9	1	3.02	1	3	13
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	0.8	20	9	1	3.02	2	3	13
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	0.8	20	9	1	3.02	3	3	19
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	1.6	20	9	1	3.02	1	3	11
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	1.6	20	9	1	3.02	2	3	13
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	1.6	20	9	1	3.02	3	3	11
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	3.2	20	9	1	3.02	1	3	13
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	3.2	20	9	1	3.02	2	3	11
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	3.2	20	9	1	3.02	3	3	18
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	0.05	20	9	1	3.02	1	4	14
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	0.05	20	9	1	3.02	2	4	17
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	0.05	20	9	1	3.02	3	4	15
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	0.1	20	9	1	3.02	1	4	14
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	0.1	20	9	1	3.02	2	4	14
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	0.1	20	9	1	3.02	3	4	15
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	0.2	20	9	1	3.02	1	4	21
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	0.2	20	9	1	3.02	2	4	18
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	0.2	20	9	1	3.02	3	4	23
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	0.4	20	9	1	3.02	1	4	12
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	0.4	20	9	1	3.02	2	4	12
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	0.4	20	9	1	3.02	3	4	19
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	0.8	20	9	1	3.02	1	4	15
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	0.8	20	9	1	3.02	2	4	13
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	0.8	20	9	1	3.02	3	4	17
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	1.6	20	9	1	3.02	1	4	12
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	1.6	20	9	1	3.02	2	4	19
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	1.6	20	9	1	3.02	3	4	16
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	3.2	20	9	1	3.02	1	4	15
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	3.2	20	9	1	3.02	2	4	17
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	3.2	20	9	1	3.02	3	4	13
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	0.05	20	9	1	3.02	1	5	24
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	0.05	20	9	1	3.02	2	5	19
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	0.05	20	9	1	3.02	3	5	13
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	0.1	20	9	1	3.02	1	5	17
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	0.1	20	9	1	3.02	2	5	11
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	0.1	20	9	1	3.02	3	5	12
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	0.2	20	9	1	3.02	1	5	29
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	0.2	20	9	1	3.02	2	5	27
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	0.2	20	9	1	3.02	3	5	35
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	0.4	20	9	1	3.02	1	5	24
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	0.4	20	9	1	3.02	2	5	21
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	0.4	20	9	1	3.02	3	5	25
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	0.8	20	9	1	3.02	1	5	20
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	0.8	20	9	1	3.02	2	5	23
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	0.8	20	9	1	3.02	3	5	32
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	1.6	20	9	1	3.02	1	5	24
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	1.6	20	9	1	3.02	2	5	25
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	1.6	20	9	1	3.02	3	5	29
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	3.2	20	9	1	3.02	1	5	21
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	3.2	20	9	1	3.02	2	5	21
