"Iso"	"Species"	"Period"	"Nutri"	"Pred"	"Phos"	"Trial"	"AucA"	"AucP"	"GrowA"	"GrowP"
"I18"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"With"	55	1	116	7	0.300879	0.041655
"I18"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"Without"	5.5	2	112	0	0.190459	0
"I18"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"With"	5.5	2	111	6	0.18352	0.042517
"I18"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"Without"	55	2	117	0	0.314126	0
"I18"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"With"	55	2	112	7	0.220388	0.031617
"I18"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"Without"	5.5	3	111	0	0.220047	0
"I18"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"With"	5.5	3	111	6	0.217296	-0.023063
"I18"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"Without"	55	3	117	0	0.304557	0
"I18"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"With"	55	3	112	7	0.153387	0.043664
"I19"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"Without"	5.5	1	108	0	0.221453	0
"I19"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"With"	5.5	1	109	9	0.140086	0.08184
"I19"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"Without"	55	1	113	0	0.341411	0
"I19"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"With"	55	1	113	9	0.255555	-0.001615
"I19"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"Without"	5.5	2	108	0	0.230821	0
"I19"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"With"	5.5	2	107	7	0.182316	0.024205
"I19"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"Without"	55	2	113	0	0.353529	0
"I19"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"With"	55	2	111	11	0.220149	-0.005287
"I19"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"Without"	5.5	3	109	0	0.172972	0
"I19"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"With"	5.5	3	108	8	0.189674	0.026397
"I19"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"Without"	55	3	113	0	0.323927	0
"I19"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"With"	55	3	113	10	0.322358	0.026561
"I20"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"Without"	5.5	1	108	0	0.121335	0
"I20"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"With"	5.5	1	102	7	0.054267	0.002704
"I20"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"Without"	55	1	113	0	0.30178	0
"I20"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"With"	55	1	109	10	0.162663	0.066481
"I20"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"Without"	5.5	2	106	0	0.150399	0
"I20"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"With"	5.5	2	102	7	0.057628	-0.029647
"I20"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"Without"	55	2	113	0	0.290466	0
"I20"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"With"	55	2	105	12	0.14394	0.140505
"I20"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"Without"	5.5	3	108	0	0.122058	0
"I20"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"With"	5.5	3	103	8	0.07724	-0.046536
"I20"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"Without"	55	3	112	0	0.301191	0
"I20"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"With"	55	3	106	11	0.120662	0.05476
"I23"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"Without"	5.5	1	109	0	0.08702	0
"I23"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"With"	5.5	1	108	11	0.006643	-0.080848
"I23"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"Without"	55	1	116	0	0.153624	0
"I23"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"With"	55	1	113	14	0.036512	-0.110003
"I23"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"Without"	5.5	2	110	0	0.076757	0
"I23"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"With"	5.5	2	108	9	0.032735	0.028316
"I23"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"Without"	55	2	116	0	0.131829	0
"I23"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"With"	55	2	109	17	-0.098222	-0.182996
"I23"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"Without"	5.5	3	109	0	0.08015	0
"I23"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"With"	5.5	3	108	11	0.049673	0.004441
"I23"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"Without"	55	3	116	0	0.157569	0
"I23"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"With"	55	3	110	17	-0.009928	-0.230686
"I24"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"Without"	5.5	1	112	0	0.152162	0
"I24"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"With"	5.5	1	110	9	0.072134	-0.03754
"I24"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"Without"	55	1	117	0	0.349311	0
"I24"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"With"	55	1	116	19	0.187779	0.13469
"I24"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"Without"	5.5	2	112	0	0.189651	0
"I24"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"With"	5.5	2	110	8	0.088148	-0.009501
"I24"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"Without"	55	2	117	0	0.351666	0
"I24"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"With"	55	2	117	22	0.275237	0.118285
"I24"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"Without"	5.5	3	112	0	0.158735	0
"I24"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"With"	5.5	3	109	7	0.044528	-0.012512
"I24"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"Without"	55	3	117	0	0.365158	0
"I24"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"With"	55	3	115	20	0.222058	0.052853
"I25"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"Without"	5.5	1	111	0	0.153713	0
"I25"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"With"	5.5	1	109	10	0.066051	0.027035
"I25"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"Without"	55	1	115	0	0.311362	0
"I25"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"With"	55	1	117	15	0.232023	-0.083359
"I25"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"Without"	5.5	2	111	0	0.09613	0
"I25"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"With"	5.5	2	108	10	0.018938	0.066567
"I25"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"Without"	55	2	116	0	0.295528	0
"I25"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"With"	55	2	114	15	0.166454	-0.286022
"I25"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"Without"	5.5	3	110	0	0.168689	0
"I25"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"With"	5.5	3	110	11	0.046553	0.054902
"I25"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"Without"	55	3	115	0	0.287539	0
"I25"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"With"	55	3	116	14	0.183532	-0.216253
"I26"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"Without"	5.5	1	108	0	0.134399	0
