Code	Iso	Species	Period	Volu	Site	Dilu	Cove	Trial	IXMI	IXMF
18B_A5	I44	Chlamydomonas_bilatus	Eutrophic	5	13	1	2.08	5	3676	2995
18B_B1	I45	Chlamydomonas_bilatus	Eutrophic	5	13	1	2.08	1	5013	4419
18B_B1	I45	Chlamydomonas_bilatus	Eutrophic	5	13	1	2.08	2	4955	4594
18B_B1	I45	Chlamydomonas_bilatus	Eutrophic	5	13	1	2.08	3	5004	4415
18B_B1	I45	Chlamydomonas_bilatus	Eutrophic	5	13	1	2.08	4	4442	3899
18B_B1	I45	Chlamydomonas_bilatus	Eutrophic	5	13	1	2.08	5	5075	4655
18B_B2	I46	Chlamydomonas_bilatus	Eutrophic	5	13	1	2.08	1	4612	3969
18B_B2	I46	Chlamydomonas_bilatus	Eutrophic	5	13	1	2.08	2	4475	4127
18B_B2	I46	Chlamydomonas_bilatus	Eutrophic	5	13	1	2.08	3	4442	3674
18B_B2	I46	Chlamydomonas_bilatus	Eutrophic	5	13	1	2.08	4	3824	3360
18B_B2	I46	Chlamydomonas_bilatus	Eutrophic	5	13	1	2.08	5	4517	3938
18B_B4	I47	Chlamydomonas_bilatus	Eutrophic	5	13	1	2.08	1	5190	4962
18B_B4	I47	Chlamydomonas_bilatus	Eutrophic	5	13	1	2.08	2	5496	4927
18B_B4	I47	Chlamydomonas_bilatus	Eutrophic	5	13	1	2.08	3	5655	4745
18B_B4	I47	Chlamydomonas_bilatus	Eutrophic	5	13	1	2.08	4	4761	4749
18B_B4	I47	Chlamydomonas_bilatus	Eutrophic	5	13	1	2.08	5	5559	4323
18B_B6	I48	Chlamydomonas_bilatus	Eutrophic	5	13	1	2.08	1	4836	4446
18B_B6	I48	Chlamydomonas_bilatus	Eutrophic	5	13	1	2.08	2	5114	4483
18B_B6	I48	Chlamydomonas_bilatus	Eutrophic	5	13	1	2.08	3	5275	4360
18B_B6	I48	Chlamydomonas_bilatus	Eutrophic	5	13	1	2.08	4	4318	3269
18B_B6	I48	Chlamydomonas_bilatus	Eutrophic	5	13	1	2.08	5	5189	4000
18B_C3	I49	Chlamydomonas_bilatus	Eutrophic	5	13	1	2.08	1	5733	5274
18B_C3	I49	Chlamydomonas_bilatus	Eutrophic	5	13	1	2.08	2	5806	5291
18B_C3	I49	Chlamydomonas_bilatus	Eutrophic	5	13	1	2.08	3	5723	4935
18B_C3	I49	Chlamydomonas_bilatus	Eutrophic	5	13	1	2.08	4	4946	4348
18B_C3	I49	Chlamydomonas_bilatus	Eutrophic	5	13	1	2.08	5	5900	5213
18B_C4	I50	Chlamydomonas_bilatus	Eutrophic	5	13	1	2.08	1	4488	4393
18B_C4	I50	Chlamydomonas_bilatus	Eutrophic	5	13	1	2.08	2	4372	4332
18B_C4	I50	Chlamydomonas_bilatus	Eutrophic	5	13	1	2.08	3	4228	3500
18B_C4	I50	Chlamydomonas_bilatus	Eutrophic	5	13	1	2.08	4	3836	3307
18B_C4	I50	Chlamydomonas_bilatus	Eutrophic	5	13	1	2.08	5	3931	3821
18B_C5	I51	Chlamydomonas_bilatus	Eutrophic	5	13	1	2.08	1	4854	4580
18B_C5	I51	Chlamydomonas_bilatus	Eutrophic	5	13	1	2.08	2	5000	4115
