Code	Iso	Species	Period	Volu	Site	Dilu	Cove	Trial	Day	IXM
3A_C4 	I5	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	1	14	705
3A_C4 	I5	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	2	14	981
3A_C4 	I5	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	3	14	1035
3A_C4 	I5	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	4	14	1139
3A_C4 	I5	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	5	14	966
3A_C4 	I5	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	1	16	1195
3A_C4 	I5	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	2	16	1065
3A_C4 	I5	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	3	16	1178
3A_C4 	I5	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	4	16	1135
3A_C4 	I5	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	5	16	1344
3A_C4 	I5	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	1	18	907
3A_C4 	I5	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	2	18	1032
3A_C4 	I5	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	3	18	1086
3A_C4 	I5	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	4	18	1331
3A_C4 	I5	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	5	18	1248
3A_C4 	I5	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	1	20	1001
3A_C4 	I5	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	2	20	1260
3A_C4 	I5	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	3	20	1446
3A_C4 	I5	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	4	20	1666
3A_C4 	I5	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	5	20	1562
3A_D5	I7	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	1	2	386
3A_D5	I7	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	2	2	363
3A_D5	I7	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	3	2	332
