Code	Iso	Species	Period	Nutri	Pred	Phos	Rotifer	Volu	Site	Dilu	Cove	Trial	Day	IXM
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	Low	Without	5.5	0	5	13	1	2,08	2	7	210
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	Low	Without	5.5	0	5	13	1	2,08	3	7	314
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	Low	With	5.5	5	5	13	1	2,08	1	7	90
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	Low	With	5.5	6	5	13	1	2,08	2	7	87
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	Low	With	5.5	4	5	13	1	2,08	3	7	98
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	High	Without	55	0	5	13	1	2,08	1	7	362
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	High	Without	55	0	5	13	1	2,08	2	7	541
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	High	Without	55	0	5	13	1	2,08	3	7	587
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	High	With	55	74	5	13	1	2,08	1	7	246
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	High	With	55	128	5	13	1	2,08	2	7	281
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	High	With	55	96	5	13	1	2,08	3	7	316
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	Low	Without	5.5	0	5	13	1	2,08	1	8	171
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	Low	Without	5.5	0	5	13	1	2,08	2	8	101
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	Low	Without	5.5	0	5	13	1	2,08	3	8	104
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	Low	With	5.5	5	5	13	1	2,08	1	8	92
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	Low	With	5.5	1	5	13	1	2,08	2	8	54
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	Low	With	5.5	5	5	13	1	2,08	3	8	126
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	High	Without	55	0	5	13	1	2,08	1	8	372
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	High	Without	55	0	5	13	1	2,08	2	8	470
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	High	Without	55	0	5	13	1	2,08	3	8	375
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	High	With	55	54	5	13	1	2,08	1	8	393
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	High	With	55	96	5	13	1	2,08	2	8	74
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	High	With	55	104	5	13	1	2,08	3	8	577
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	Low	Without	5.5	0	5	13	1	2,08	1	9	146
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	Low	Without	5.5	0	5	13	1	2,08	2	9	203
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	Low	Without	5.5	0	5	13	1	2,08	3	9	271
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	Low	With	5.5	4	5	13	1	2,08	1	9	51
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	Low	With	5.5	2	5	13	1	2,08	2	9	210
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	Low	With	5.5	0	5	13	1	2,08	3	9	118
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	High	Without	55	0	5	13	1	2,08	1	9	599
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	High	Without	55	0	5	13	1	2,08	2	9	523
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	High	Without	55	0	5	13	1	2,08	3	9	563
