"Iso"	"Species"	"Period"	"Nutri"	"Pred"	"Phos"	"Trial"	"GrowA"	"GrowP"
"I16"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"With"	55	1	0.281828729611083	0.0110745088098697
"I16"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"Without"	5.5	2	0.185353932474022	0
"I16"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"With"	5.5	2	0.159250956627776	-0.00210526515939263
"I16"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"Without"	55	2	0.338191640013354	0
"I16"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"With"	55	2	0.310683244335623	0.0125807437554766
"I16"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"Without"	5.5	3	0.209368554555413	0
"I16"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"With"	5.5	3	0.148689064405807	0.0431606609666088
"I16"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"Without"	55	3	0.334172347115648	0
"I16"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"With"	55	3	0.263167955749079	-0.00376666539620127
"I17"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"Without"	5.5	1	0.0723484876440379	0
"I17"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"With"	5.5	1	-0.00587030329995872	-0.0253637369089025
"I17"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"Without"	55	1	0.195812379573013	0
"I17"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"With"	55	1	0.138832074189582	-0.0249627737527127
"I17"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"Without"	5.5	2	0.0778039276217006	0
"I17"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"With"	5.5	2	-0.0121197851158099	-0.0135274044290009
"I17"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"Without"	55	2	0.24177019953629	0
"I17"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"With"	55	2	0.123808678163517	0.0145903999499367
"I17"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"Without"	5.5	3	0.0822241192402162	0
"I17"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"With"	5.5	3	0.0523637156765974	0.0200622362763356
"I17"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"Without"	55	3	0.21804199174841	0
"I17"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"With"	55	3	0.00798883013847074	-0.00816903978751016
"I18"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"Without"	5.5	1	0.203266299130969	0
"I18"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"With"	5.5	1	0.165595749755597	0.0413762313880703
"I18"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"Without"	55	1	0.29742061576017	0
"I18"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"With"	55	1	0.300878683684777	0.0416550010990174
"I18"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"Without"	5.5	2	0.190459276251604	0
"I18"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"With"	5.5	2	0.183520472193585	0.0425167558599918
"I18"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"Without"	55	2	0.314126458352077	0
"I18"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"With"	55	2	0.220388119476263	0.031616705500168
"I18"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"Without"	5.5	3	0.220046858498031	0
"I18"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"With"	5.5	3	0.217296097416304	-0.0230628186788202
"I18"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"Without"	55	3	0.304556557037038	0
"I18"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"With"	55	3	0.153387177757001	0.0436638267125892
"I19"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"Without"	5.5	1	0.221452719260325	0
"I19"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"With"	5.5	1	0.140086308083492	0.0818404037623094
"I19"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"Without"	55	1	0.341411356520331	0
"I19"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"With"	55	1	0.255554766484067	-0.00161521103766093
"I19"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"Without"	5.5	2	0.230821015441025	0
"I19"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"With"	5.5	2	0.18231561813957	0.0242048411436176
"I19"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"Without"	55	2	0.353529306605814	0
"I19"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"With"	55	2	0.220148686057689	-0.00528658195408696
"I19"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"Without"	5.5	3	0.172971704558729	0
"I19"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"With"	5.5	3	0.189674485437788	0.0263966301501711
"I19"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"Without"	55	3	0.323926616491366	0
"I19"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"With"	55	3	0.322357814570274	0.0265607666329912
"I20"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"Without"	5.5	1	0.121335391102094	0
"I20"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"With"	5.5	1	0.0542674161760781	0.00270418852140728
"I20"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"Without"	55	1	0.301779726464718	0
"I20"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"With"	55	1	0.162663101841338	0.0664807483775378
"I20"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"Without"	5.5	2	0.150398595363125	0
"I20"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"With"	5.5	2	0.0576283119287672	-0.0296465617261972
"I20"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"Without"	55	2	0.290465605454108	0
"I20"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"With"	55	2	0.143940470763027	0.140505178840235
"I20"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"Without"	5.5	3	0.122058207809745	0
"I20"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"With"	5.5	3	0.0772399321941455	-0.0465358710187767
"I20"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"Without"	55	3	0.301191267917729	0
"I20"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"With"	55	3	0.12066197075981	0.0547597675146794
"I23"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"Without"	5.5	1	0.0870195725293955	0
"I23"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"With"	5.5	1	0.00664322695862359	-0.0808476396698977
"I23"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"Without"	55	1	0.153624201481594	0
"I23"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"With"	55	1	0.036511862973651	-0.110002870708167
"I23"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"Without"	5.5	2	0.0767574343926515	0
"I23"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"With"	5.5	2	0.0327345360087702	0.0283159415888198
"I23"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"Without"	55	2	0.13182940817471	0
"I23"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"With"	55	2	-0.0982217763423054	-0.182995769186308
"I23"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"Without"	5.5	3	0.0801495947085318	0
"I23"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"With"	5.5	3	0.0496726579939498	0.00444088498783697
"I23"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"Without"	55	3	0.157568839954125	0
"I23"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"With"	55	3	-0.00992829790417966	-0.230685877986728
"I24"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"Without"	5.5	1	0.152161515836012	0
"I24"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"With"	5.5	1	0.0721337649813395	-0.0375403069861824
"I24"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"Without"	55	1	0.349311363854194	0
"I24"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"With"	55	1	0.187778596183843	0.134689834406165
"I24"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"Without"	5.5	2	0.189651498446914	0
"I24"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"With"	5.5	2	0.0881476188552468	-0.00950147104148189
"I24"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"Without"	55	2	0.351665846116729	0
"I24"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"With"	55	2	0.27523695157674	0.118284673915127
"I24"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"Without"	5.5	3	0.158734839220692	0
"I24"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"With"	5.5	3	0.0445275822126412	-0.0125118081080341
"I24"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"Without"	55	3	0.365157573110091	0
"I24"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"With"	55	3	0.22205798137054	0.0528533058740244
"I25"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"Without"	5.5	1	0.153712609996114	0
"I25"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"With"	5.5	1	0.0660511525608541	0.0270348781607034
"I25"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"Without"	55	1	0.311361690815339	0
"I25"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"With"	55	1	0.232022968952182	-0.0833592415440687
"I25"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"Without"	5.5	2	0.096129941703093	0
"I25"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"With"	5.5	2	0.0189384066980711	0.0665666016623583
"I25"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"Without"	55	2	0.295527535050538	0
"I25"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"With"	55	2	0.166454319115499	-0.286022181367185
"I25"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"Without"	5.5	3	0.168688559845889	0
"I25"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"With"	5.5	3	0.0465527424067354	0.0549015756248876
